user_story_id,user_story_description,stakeholder_role,complexity,moscow_category,dependencies,weighted_score,final_priority,project_stage,timestamp,outcome
789,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2023-09-08 12:33:41.308674,Deferred
791,The system should allow the manager to track the types and amounts of waste generated by the store.,General User,18,Should Have,,9.8,Medium,Planning,2023-09-07 12:33:41.308674,Approved
792,The system should allow the manager to analyze the store's energy and resource usage and identify areas where improvements can be made.,General User,22,Should Have,,10.2,Medium,Planning,2023-09-06 12:33:41.308674,Approved
793,"The system should provide tools for the manager to implement and monitor sustainable practices, such as recycling programs or energy-efficient lighting.",General User,21,Should Have,,10.1,Medium,Planning,2023-09-05 12:33:41.308674,Approved
794,The system should generate reports on the store's environmental impact and progress towards sustainability goals.,General User,15,Should Have,,9.5,Medium,Planning,2023-09-04 12:33:41.308674,Approved
797,"78.As a customer, I want to be able to easily purchase products online and have them delivered or ready for pickup, so that I can save time and shop from home.",Customer,31,Won’t Have,,8.1,Low,Planning,2023-09-03 12:33:41.308674,Deferred
799,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2023-09-02 12:33:41.308674,Deferred
801,The online store is easy to navigate and products are clearly labeled and categorized for easy searching and selection.,General User,19,Won’t Have,,6.9,Low,Planning,2023-09-01 12:33:41.308674,Deferred
802,"The checkout process is straightforward and secure, with multiple payment options available.",General User,12,Won’t Have,,6.2,Low,Planning,2023-08-31 12:33:41.308674,Deferred
803,"The customer can choose between delivery or pickup options, with clear information provided about expected delivery/pickup times.",Customer,17,Won’t Have,,6.7,Low,Planning,2023-08-30 12:33:41.308674,Deferred
804,The store offers competitive pricing for online purchases and any additional fees (such as delivery fees) are clearly communicated before checkout.,General User,21,Won’t Have,,7.1,Low,Planning,2023-08-29 12:33:41.308674,Deferred
807,"79.As a supermarket manager, I want to be able to manage and track the store's social media and online presence, so that I can engage with customers and promote the store's brand.",Customer,32,Won’t Have,,8.2,Low,Planning,2023-08-28 12:33:41.308674,Deferred
809,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2023-08-27 12:33:41.308674,Deferred
811,"The social media and online presence management system should allow the supermarket manager to schedule and publish posts across multiple platforms, such as Facebook, Twitter, and Instagram.",General User,27,Should Have,,10.7,Medium,Planning,2023-08-26 12:33:41.308674,Approved
812,The system should provide analytics and reporting tools to track engagement and performance of social media posts and online campaigns.,General User,20,Should Have,,10.0,Medium,Planning,2023-08-25 12:33:41.308674,Approved
813,"The system should allow the supermarket manager to respond to customer inquiries, feedback, and reviews on social media and other online channels in a timely and professional manner.",Customer,28,Should Have,,10.8,Medium,Planning,2023-08-24 12:33:41.308674,Approved
814,"The system should enable the supermarket manager to monitor online conversations and trends related to the supermarket's brand, competitors, and industry, and use this information to inform business decisions and marketing strategies.",General User,32,Should Have,,11.2,Medium,Planning,2023-08-23 12:33:41.308674,Approved
817,"80.As a customer, I want to be able to access a variety of payment options, such as cash, credit, debit, and mobile payments, so that I can choose the most convenient method for me.",Customer,34,Won’t Have,,8.4,Low,Planning,2023-08-22 12:33:41.308674,Deferred
819,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2023-08-21 12:33:41.308674,Deferred
821,The supermarket should have clear signage and information regarding accepted payment methods.,General User,12,Should Have,,9.2,Medium,Planning,2023-08-20 12:33:41.308674,Approved
822,"All payment options should be easy to access and use, with clear instructions provided.",General User,14,Should Have,,9.4,Medium,Planning,2023-08-19 12:33:41.308674,Approved
823,"Mobile payment options should be secure and reliable, with no issues or errors during the transaction process.",General User,17,Should Have,,9.7,Medium,Planning,2023-08-18 12:33:41.308674,Approved
824,"If there are any issues with a customer's preferred payment method, the supermarket should provide alternative solutions or assistance to resolve the problem.",Customer,23,Should Have,,10.3,Medium,Planning,2023-08-17 12:33:41.308674,Approved
828,"81.	As a recruiter, I want to be able to post job listings and descriptions online, so that potential candidates can easily find and apply for open positions.",General User,28,Won’t Have,,7.8,Low,Planning,2023-08-16 12:33:41.308674,Deferred
830,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2023-08-15 12:33:41.308674,Deferred
832,The platform should allow for easy creation and posting of job listings.,General User,12,Should Have,,9.2,Medium,Planning,2023-08-14 12:33:41.308674,Approved
833,"The job descriptions should be clear, concise, and informative.",General User,9,Should Have,,8.9,Medium,Planning,2023-08-13 12:33:41.308674,Approved
834,"Candidates should be able to easily find and search for job listings based on relevant criteria, such as job title, location, and experience level.",General User,24,Should Have,,10.4,Medium,Planning,2023-08-12 12:33:41.308674,Approved
835,"The application process should be streamlined and user-friendly, with the ability to upload resumes and cover letters, and contact information for reference.",General User,22,Should Have,,10.2,Medium,Planning,2023-08-11 12:33:41.308674,Approved
839,"82.As a job seeker, I want to be able to search and filter job listings based on location, salary, and other criteria, so that I can find positions that match my qualifications and interests.",General User,34,Won’t Have,,8.4,Low,Planning,2023-08-10 12:33:41.308674,Deferred
841,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2023-08-09 12:33:41.308674,Deferred
843,"The search functionality should allow job seekers to search for job listings based on multiple criteria, such as job title, location, salary range, and company name.",General User,26,Should Have,,10.6,Medium,Planning,2023-08-08 12:33:41.308674,Approved
844,"The search results should be displayed in an organized and easy-to-read format, with relevant information such as job title, location, and company name clearly visible.",General User,25,Should Have,,10.5,Medium,Planning,2023-08-07 12:33:41.308674,Approved
845,"The search results should allow job seekers to filter the results by various criteria, such as job type, experience level, and education level.",General User,23,Should Have,,10.3,Medium,Planning,2023-08-06 12:33:41.308674,Approved
846,The search results should provide relevant and up-to-date job listings based on the search criteria entered by the job seeker.,General User,20,Should Have,,10.0,Medium,Planning,2023-08-05 12:33:41.308674,Approved
850,"83.As a recruiter, I want to be able to easily review and manage resumes and job applications, so that I can efficiently screen candidates and identify qualified candidates.",General User,28,Won’t Have,,7.8,Low,Planning,2023-08-04 12:33:41.308674,Deferred
852,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2023-08-03 12:33:41.308674,Deferred
854,The system should allow recruiters to easily upload and store resumes and job applications.,General User,14,Should Have,,9.4,Medium,Planning,2023-08-02 12:33:41.308674,Approved
855,The system should provide tools for recruiters to easily review and screen resumes and job applications.,General User,16,Should Have,,9.6,Medium,Planning,2023-08-01 12:33:41.308674,Approved
856,The system should allow recruiters to add notes and comments to resumes and job applications for internal use.,General User,18,Should Have,,9.8,Medium,Planning,2023-07-31 12:33:41.308674,Approved
857,"The system should provide a way for recruiters to communicate with candidates, such as sending emails or scheduling interviews.",General User,19,Should Have,,9.9,Medium,Planning,2023-07-30 12:33:41.308674,Approved
861,"84.As a job seeker, I want to be able to receive updates and notifications on the status of my application, so that I can stay informed and engaged throughout the recruitment process.",General User,32,Won’t Have,,8.2,Low,Planning,2023-07-29 12:33:41.308674,Deferred
863,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2023-07-28 12:33:41.308674,Deferred
865,"The job seeker receives an email confirmation upon submitting their application, indicating that their application has been received.",General User,18,Won’t Have,,6.8,Low,Planning,2023-07-27 12:33:41.308674,Deferred
866,"The job seeker receives a notification when their application is being reviewed by the recruiter, indicating that the next step of the process is being initiated.",General User,26,Won’t Have,,7.6,Low,Planning,2023-07-26 12:33:41.308674,Deferred
867,"The job seeker receives a notification if their application has been declined, indicating that they have not been selected to proceed to the next stage of the recruitment process.",General User,29,Won’t Have,,7.9,Low,Planning,2023-07-25 12:33:41.308674,Deferred
868,"The job seeker receives a notification if they have been selected for an interview, indicating the date, time, and location of the interview.",General User,23,Won’t Have,,7.3,Low,Planning,2023-07-24 12:33:41.308674,Deferred
872,"85.As a recruiter, I want to be able to schedule and conduct interviews with candidates, either in person or remotely, so that I can assess their skills and fit for the position.",General User,32,Won’t Have,,8.2,Low,Planning,2023-07-23 12:33:41.308674,Deferred
874,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2023-07-22 12:33:41.308674,Deferred
876,The system should allow recruiters to schedule interviews with candidates through the platform.,General User,13,Should Have,,9.3,Medium,Planning,2023-07-21 12:33:41.308674,Approved
877,"The system should provide options for scheduling interviews in person or remotely, depending on the preferences of the recruiter and candidate.",General User,21,Should Have,Related to another feature,10.1,Medium,Planning,2023-07-20 12:33:41.308674,Approved
878,The system should allow recruiters to view candidate resumes and application materials before the interview.,General User,15,Should Have,,9.5,Medium,Planning,2023-07-19 12:33:41.308674,Approved
879,The system should provide notification reminders for scheduled interviews to both the recruiter and candidate to ensure timely attendance.,General User,19,Should Have,,9.9,Medium,Planning,2023-07-18 12:33:41.308674,Approved
882,"86.As a job seeker, I want to be able to provide references and other supporting materials to potential employers, so that I can demonstrate my qualifications and experience.",General User,28,Won’t Have,,7.8,Low,Planning,2023-07-17 12:33:41.308674,Deferred
884,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2023-07-16 12:33:41.308674,Deferred
886,"The job seeker should be able to easily upload and attach relevant documents, such as a cover letter, resume, and references, to their job application.",General User,25,Should Have,,10.5,Medium,Planning,2023-07-15 12:33:41.308674,Approved
887,The job seeker should receive confirmation that their documents were successfully uploaded and attached to their application.,General User,17,Should Have,,9.7,Medium,Planning,2023-07-14 12:33:41.308674,Approved
888,The recruiter should have access to view the job seeker's attached documents and be able to download them for review.,General User,20,Should Have,,10.0,Medium,Planning,2023-07-13 12:33:41.308674,Approved
889,The job seeker's attached documents should be kept confidential and not shared with any unauthorized parties.,General User,16,Should Have,,9.6,Medium,Planning,2023-07-12 12:33:41.308674,Approved
893,"87.As a recruiter, I want to be able to track and manage the hiring process from start to finish, including candidate communication, background checks, and job offers.",General User,27,Won’t Have,,7.7,Low,Planning,2023-07-11 12:33:41.308674,Deferred
895,Acceptance criteria for a recruitment management system that enables recruiters to track and manage the hiring process from start to finish may include:,General User,23,Won’t Have,,7.3,Low,Planning,2023-07-10 12:33:41.308674,Deferred
897,"The system allows recruiters to create and post job listings with relevant details such as job description, required qualifications, and location.",General User,21,Won’t Have,,7.1,Low,Planning,2023-07-09 12:33:41.308674,Deferred
898,"Candidates can submit their applications and resumes through the system, which will automatically be screened and sorted based on their qualifications and experience.",General User,23,Won’t Have,,7.3,Low,Planning,2023-07-08 12:33:41.308674,Deferred
899,"The system allows recruiters to communicate with candidates throughout the recruitment process, including scheduling interviews, requesting additional information, and providing updates on the status of their application.",General User,27,Won’t Have,,7.7,Low,Planning,2023-07-07 12:33:41.308674,Deferred
900,"The system allows recruiters to conduct background checks and reference checks on candidates, and store the results within the system for easy access and review.",General User,25,Won’t Have,,7.5,Low,Planning,2023-07-06 12:33:41.308674,Deferred
904,"88.As a job seeker, I want to be able to easily submit and manage multiple job applications, so that I can increase my chances of finding a suitable position.",General User,29,Won’t Have,,7.9,Low,Planning,2023-07-05 12:33:41.308674,Deferred
906,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2023-07-04 12:33:41.308674,Deferred
908,The system should allow the job seeker to create a profile with their personal and professional information.,General User,17,Should Have,,9.7,Medium,Planning,2023-07-03 12:33:41.308674,Approved
909,"The job seeker should be able to search and apply for job openings by using keywords, job title, and location.",General User,20,Should Have,,10.0,Medium,Planning,2023-07-02 12:33:41.308674,Approved
910,"The system should allow the job seeker to track the status of their job applications, including whether the application has been received, reviewed, or declined.",General User,25,Should Have,,10.5,Medium,Planning,2023-07-01 12:33:41.308674,Approved
911,The job seeker should receive notifications or alerts for any updates to their job applications or new job openings that match their skills and preferences.,General User,25,Should Have,,10.5,Medium,Planning,2023-06-30 12:33:41.308674,Approved
914,"89.As a recruiter, I want to be able to collaborate with other team members and hiring managers, so that we can make informed and collaborative decisions about job candidates.",General User,29,Won’t Have,,7.9,Low,Planning,2023-06-29 12:33:41.308674,Deferred
916,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2023-06-28 12:33:41.308674,Deferred
918,The platform should allow multiple users to access and collaborate on the same job listing and candidate information.,General User,18,Should Have,,9.8,Medium,Planning,2023-06-27 12:33:41.308674,Approved
919,Users should be able to leave comments and feedback on job candidates to facilitate communication and decision-making.,General User,17,Should Have,,9.7,Medium,Planning,2023-06-26 12:33:41.308674,Approved
920,"The platform should provide tools for tracking the status of candidates, such as their stage in the hiring process and any feedback received.",General User,23,Should Have,,10.3,Medium,Planning,2023-06-25 12:33:41.308674,Approved
921,The platform should have appropriate security measures in place to ensure that sensitive candidate information is only accessible to authorized users.,General User,21,Should Have,,10.1,Medium,Planning,2023-06-24 12:33:41.308674,Approved
925,"90.As a job seeker, I want to be able to research and learn more about the company and its culture, so that I can decide if it is a good fit for me.",General User,33,Won’t Have,,8.3,Low,Planning,2023-06-23 12:33:41.308674,Deferred
927,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2023-06-22 12:33:41.308674,Deferred
929,"Access to the company's website, social media accounts, and other online resources that provide information about the company's mission, values, and culture.",General User,22,Won’t Have,,7.2,Low,Planning,2023-06-21 12:33:41.308674,Deferred
930,"Availability of employee reviews and ratings on websites such as Glassdoor, which can provide insight into the company's work environment and culture.",General User,22,Won’t Have,,7.2,Low,Planning,2023-06-20 12:33:41.308674,Deferred
931,"Opportunities to connect with current employees through networking events or informational interviews, which can provide a more personal and in-depth understanding of the company's culture.",General User,25,Won’t Have,,7.5,Low,Planning,2023-06-19 12:33:41.308674,Deferred
932,Easy navigation and user-friendly interfaces for accessing information about the company and its culture.,General User,14,Won’t Have,,6.4,Low,Planning,2023-06-18 12:33:41.308674,Deferred
936,"91.As a recruiter, I want to be able to conduct skill assessments and tests for candidates, so that I can ensure that they have the necessary skills and knowledge for the position.",General User,32,Won’t Have,,8.2,Low,Planning,2023-06-17 12:33:41.308674,Deferred
938,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2023-06-16 12:33:41.308674,Deferred
940,"The recruitment platform should provide a variety of test and assessment options, such as cognitive assessments, behavioral assessments, and skills tests.",General User,21,Should Have,,10.1,Medium,Planning,2023-06-15 12:33:41.308674,Approved
941,"The tests and assessments should be customizable, allowing recruiters to tailor the assessments to specific job roles and requirements.",General User,19,Should Have,,9.9,Medium,Planning,2023-06-14 12:33:41.308674,Approved
942,"The platform should provide automated scoring and reporting features, allowing recruiters to quickly and easily review candidates' results.",General User,18,Should Have,,9.8,Medium,Planning,2023-06-13 12:33:41.308674,Approved
943,The tests and assessments should be secure and prevent cheating or tampering to ensure accurate results.,General User,16,Should Have,,9.6,Medium,Planning,2023-06-12 12:33:41.308674,Approved
946,"92.As a job seeker, I want to be able to provide feedback on the recruitment process, so that potential employers can improve their hiring process and candidate experience.",General User,28,Won’t Have,,7.8,Low,Planning,2023-06-11 12:33:41.308674,Deferred
948,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2023-06-10 12:33:41.308674,Deferred
950,There should be a clear and accessible method for providing feedback.,General User,11,Should Have,,9.1,Medium,Planning,2023-06-09 12:33:41.308674,Approved
951,Feedback should be collected anonymously to ensure honesty and transparency.,General User,10,Should Have,,9.0,Medium,Planning,2023-06-08 12:33:41.308674,Approved
952,"The feedback form should cover various aspects of the recruitment process, such as communication, timeliness, and overall experience.",General User,18,Should Have,,9.8,Medium,Planning,2023-06-07 12:33:41.308674,Approved
953,Employers should take action based on the feedback received and make improvements to the recruitment process.,General User,16,Should Have,,9.6,Medium,Planning,2023-06-06 12:33:41.308674,Approved
957,"93.As a recruiter, I want to be able to easily communicate with candidates and provide timely updates on the recruitment process, so that we can build positive relationships with potential hires.",General User,31,Won’t Have,,8.1,Low,Planning,2023-06-05 12:33:41.308674,Deferred
959,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2023-06-04 12:33:41.308674,Deferred
961,The communication platform should be easily accessible and user-friendly for both the recruiter and the candidate.,General User,16,Should Have,,9.6,Medium,Planning,2023-06-03 12:33:41.308674,Approved
962,The recruiter should be able to send messages and updates to candidates regarding the status of their application and next steps in the recruitment process.,General User,25,Should Have,,10.5,Medium,Planning,2023-06-02 12:33:41.308674,Approved
963,The candidate should be able to easily reply and respond to messages from the recruiter.,General User,15,Should Have,,9.5,Medium,Planning,2023-06-01 12:33:41.308674,Approved
964,The platform should have a record of all communication between the recruiter and candidate for reference and documentation purposes.,General User,19,Should Have,,9.9,Medium,Planning,2023-05-31 12:33:41.308674,Approved
968,"94.As a job seeker, I want to be able to receive feedback and constructive criticism on my job application and interview performance, so that I can improve my skills and increase my chances of success in future applications.",General User,38,Won’t Have,,8.8,Low,Planning,2023-05-30 12:33:41.308674,Deferred
970,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2023-05-29 12:33:41.308674,Deferred
972,"The feedback provided should be clear and specific, highlighting both strengths and areas of improvement.",General User,15,Should Have,,9.5,Medium,Planning,2023-05-28 12:33:41.308674,Approved
973,The feedback should be provided in a timely manner after the interview or application process has concluded.,General User,17,Should Have,,9.7,Medium,Planning,2023-05-27 12:33:41.308674,Approved
974,The feedback should be given in a professional and respectful manner.,General User,11,Should Have,,9.1,Medium,Planning,2023-05-26 12:33:41.308674,Approved
975,"The feedback should be constructive and actionable, providing practical suggestions for improvement.",General User,12,Should Have,,9.2,Medium,Planning,2023-05-25 12:33:41.308674,Approved
979,"95.As a recruiter, I want to be able to access and manage a pool of candidates for future job openings, so that we can build a strong talent pipeline.",General User,29,Won’t Have,,7.9,Low,Planning,2023-05-24 12:33:41.308674,Deferred
981,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2023-05-23 12:33:41.308674,Deferred
983,The system should allow recruiters to create a database of candidate profiles.,General User,12,Should Have,,9.2,Medium,Planning,2023-05-22 12:33:41.308674,Approved
984,"Recruiters should be able to search for candidates based on various criteria, such as skills, experience, and education.",General User,18,Should Have,,9.8,Medium,Planning,2023-05-21 12:33:41.308674,Approved
985,The system should allow recruiters to communicate with candidates and keep them informed about future job opportunities.,General User,17,Should Have,,9.7,Medium,Planning,2023-05-20 12:33:41.308674,Approved
986,Recruiters should be able to update candidate information and add new candidates to the database.,General User,15,Should Have,,9.5,Medium,Planning,2023-05-19 12:33:41.308674,Approved
990,"96.As a job seeker, I want to be able to easily access information about employee benefits and perks, so that I can evaluate the overall value of a job offer.",General User,30,Won’t Have,,8.0,Low,Planning,2023-05-18 12:33:41.308674,Deferred
992,Acceptance criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2023-05-17 12:33:41.308674,Deferred
994,Employee benefits and perks information should be easily accessible and available on the company's website or recruitment platform.,General User,18,Should Have,,9.8,Medium,Planning,2023-05-16 12:33:41.308674,Approved
995,"Information should be clear, concise, and up-to-date, including details on healthcare, retirement plans, paid time off, and other benefits.",General User,19,Should Have,,9.9,Medium,Planning,2023-05-15 12:33:41.308674,Approved
996,The job seeker should be able to compare and contrast benefits and perks between different job offers to make an informed decision.,General User,22,Should Have,,10.2,Medium,Planning,2023-05-14 12:33:41.308674,Approved
997,"The information should be provided in a way that is easy to understand for all job seekers, regardless of their background or level of experience.",General User,25,Should Have,,10.5,Medium,Planning,2023-05-13 12:33:41.308674,Approved
1001,"97.As a recruiter, I want to be able to collaborate with external recruiting agencies and services, so that we can access a wider pool of qualified candidates.",General User,27,Won’t Have,,7.7,Low,Planning,2023-05-12 12:33:41.308674,Deferred
1003,Acceptance Criteria for recruiter collaborating with external recruiting agencies and services:,General User,11,Won’t Have,,6.1,Low,Planning,2023-05-11 12:33:41.308674,Deferred
1005,Ability to search for and identify suitable recruiting agencies and services based on their reputation and past success rates.,General User,19,Won’t Have,,6.9,Low,Planning,2023-05-10 12:33:41.308674,Deferred
1006,Ability to communicate and collaborate with external agencies and services to define recruitment needs and expectations.,General User,16,Won’t Have,,6.6,Low,Planning,2023-05-09 12:33:41.308674,Deferred
1007,Ability to share candidate information and job requirements with external agencies and services in a secure and efficient manner.,General User,19,Won’t Have,,6.9,Low,Planning,2023-05-08 12:33:41.308674,Deferred
1008,Ability to track the progress and effectiveness of external agencies and services in identifying and presenting qualified candidates for open positions.,General User,21,Won’t Have,,7.1,Low,Planning,2023-05-07 12:33:41.308674,Deferred
1011,"98.As a job seeker, I want to be able to connect and network with potential employers and industry professionals, so that I can increase my visibility and job opportunities.",General User,29,Won’t Have,,7.9,Low,Planning,2023-05-06 12:33:41.308674,Deferred
1013,Acceptance criteria for this user story could include:,General User,8,Could Have,,6.8,Low,Planning,2023-05-05 12:33:41.308674,Deferred
1015,The ability to search for and connect with employers and professionals within the same industry or field of interest.,General User,19,Won’t Have,,6.9,Low,Planning,2023-05-04 12:33:41.308674,Deferred
1016,"The ability to create and maintain a professional profile that showcases skills, qualifications, and experience.",General User,15,Won’t Have,,6.5,Low,Planning,2023-05-03 12:33:41.308674,Deferred
1017,"The ability to receive notifications about job opportunities, events, and other relevant information.",General User,13,Won’t Have,,6.3,Low,Planning,2023-05-02 12:33:41.308674,Deferred
1018,"The ability to engage in online discussions, groups, and forums related to job search and career development.",General User,17,Won’t Have,,6.7,Low,Development,2023-05-01 12:33:41.308674,Deferred
1021,"99.As a recruiter, I want to be able to leverage social media and other online platforms to attract and engage with potential job candidates, so that we can build a strong employer brand.",General User,33,Won’t Have,,8.3,Low,Planning,2023-04-30 12:33:41.308674,Deferred
1023,Acceptance Criteria for the above user story are:,General User,8,Won’t Have,,5.8,Low,Planning,2023-04-29 12:33:41.308674,Deferred
1025,The platform should allow for the creation of job postings that can be easily shared on social media and other online platforms.,General User,22,Should Have,,10.2,Medium,Planning,2023-04-28 12:33:41.308674,Approved
1026,The platform should have the capability to track engagement and interactions on job postings and related social media content.,General User,19,Should Have,,9.9,Medium,Planning,2023-04-27 12:33:41.308674,Approved
1027,The platform should allow recruiters to engage with candidates who have shown interest in the company or job postings through social media or other online channels.,General User,26,Should Have,,10.6,Medium,Planning,2023-04-26 12:33:41.308674,Approved
1028,The platform should have features that enable the creation and management of targeted social media and online advertising campaigns to attract potential job candidates.,General User,24,Should Have,,10.4,Medium,Planning,2023-04-25 12:33:41.308674,Approved
1032,"100.As a job seeker, I want to be able to receive guidance and support on job search strategies and techniques, so that I can improve my chances of finding a suitable position.",General User,32,Won’t Have,,8.2,Low,Planning,2023-04-24 12:33:41.308674,Deferred
1034,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2023-04-23 12:33:41.308674,Deferred
1036,The platform should provide clear and concise guidance on job search strategies and techniques.,General User,14,Should Have,,9.4,Medium,Planning,2023-04-22 12:33:41.308674,Approved
1037,The guidance provided should be up-to-date and relevant to the current job market.,General User,13,Should Have,,9.3,Medium,Planning,2023-04-21 12:33:41.308674,Approved
1038,The platform should offer personalized recommendations based on the job seeker's qualifications and experience.,General User,14,Should Have,,9.4,Medium,Planning,2023-04-20 12:33:41.308674,Approved
1039,"The platform should provide resources and tools to help job seekers develop and refine their job search skills, such as resume writing, interview preparation, and networking.",General User,26,Should Have,,10.6,Medium,Planning,2023-04-19 12:33:41.308674,Approved
1044,"101.As a customer, I want to be able to search for products by keywords, category, or brand, so that I can find what I'm looking for quickly and easily",Customer,29,Won’t Have,,7.9,Low,Planning,2023-04-18 12:33:41.308674,Deferred
1046,Acceptance Criteria :,General User,3,Won’t Have,,5.3,Low,Planning,2023-04-17 12:33:41.308674,Deferred
1048,"The search function should allow customers to search by keywords, category, and brand.",Customer,13,Should Have,,9.3,Medium,Planning,2023-04-16 12:33:41.308674,Approved
1049,The search results should be relevant and display products that match the customer's search query.,Customer,15,Should Have,,9.5,Medium,Planning,2023-04-15 12:33:41.308674,Approved
1050,The search results should be presented in a clear and organized manner.,General User,12,Should Have,,9.2,Medium,Planning,2023-04-14 12:33:41.308674,Approved
1051,The search function should be easy to use and located prominently on the website.,General User,14,Should Have,,9.4,Medium,Planning,2023-04-13 12:33:41.308674,Approved
1054,"102.As a customer, I want to be able to view product details, including price, description, images, and reviews, so that I can make an informed purchase decision",Customer,27,Won’t Have,,7.7,Low,Planning,2023-04-12 12:33:41.308674,Deferred
1056,Acceptance Criteria :,General User,3,Won’t Have,,5.3,Low,Planning,2023-04-11 12:33:41.308674,Deferred
1058,"Product details should include the product's price, description, images, and customer reviews.",Customer,12,Should Have,,9.2,Medium,Planning,2023-04-10 12:33:41.308674,Approved
1059,The product details should be displayed in a clear and organized manner.,General User,12,Should Have,,9.2,Medium,Planning,2023-04-09 12:33:41.308674,Approved
1060,The product details should be easy to access and located prominently on the website.,General User,14,Should Have,,9.4,Medium,Planning,2023-04-08 12:33:41.308674,Approved
1063,"103. As a customer, I want to be able to add products to my shopping cart, so that I can keep track of my purchases and continue shopping.",Customer,28,Won’t Have,,7.8,Low,Planning,2023-04-07 12:33:41.308674,Deferred
1065,Acceptance Criteria :,General User,3,Won’t Have,,5.3,Low,Planning,2023-04-06 12:33:41.308674,Deferred
1067,The shopping cart should allow customers to add and remove products.,Customer,11,Should Have,,9.1,Medium,Planning,2023-04-05 12:33:41.308674,Approved
1068,The shopping cart should display the total cost of the customer's purchases.,Customer,12,Should Have,,9.2,Medium,Planning,2023-04-04 12:33:41.308674,Approved
1069,The shopping cart should be easy to access and located prominently on the website.,General User,14,Should Have,,9.4,Medium,Planning,2023-04-03 12:33:41.308674,Approved
1072,"104. As a customer, I want to be able to checkout and pay for my purchases using a variety of payment methods, such as credit cards, PayPal, and mobile payments.",Customer,30,Won’t Have,,8.0,Low,Planning,2023-04-02 12:33:41.308674,Deferred
1074,Acceptance Criteria :,General User,3,Won’t Have,,5.3,Low,Planning,2023-04-01 12:33:41.308674,Deferred
1076,The checkout process should be easy to use and guide the customer through the payment process.,Customer,16,Should Have,,9.6,Medium,Planning,2023-03-31 12:33:41.308674,Approved
1077,"The checkout process should provide a variety of payment methods, such as credit cards, PayPal, and mobile payments.",General User,18,Should Have,,9.8,Medium,Planning,2023-03-30 12:33:41.308674,Approved
1078,The checkout process should be secure and protect the customer's personal and payment information.,Customer,14,Should Have,,9.4,Medium,Planning,2023-03-29 12:33:41.308674,Approved
1081,"105.As a customer, I want to be able to track the status of my order, including shipping and delivery updates, so that I can plan accordingly.",Customer,26,Won’t Have,,7.6,Low,Planning,2023-03-28 12:33:41.308674,Deferred
1083,Acceptance Criteria :,General User,3,Won’t Have,,5.3,Low,Planning,2023-03-27 12:33:41.308674,Deferred
1085,"The website should provide updates on the status of the customer's order, including shipping and delivery information.",Customer,17,Should Have,,9.7,Medium,Planning,2023-03-26 12:33:41.308674,Approved
1086,The order tracking information should be clear and easy to access.,General User,11,Should Have,,9.1,Medium,Planning,2023-03-25 12:33:41.308674,Approved
1087,The order tracking information should be updated in real-time and accurately reflect the current status of the order.,General User,18,Should Have,,9.8,Medium,Planning,2023-03-24 12:33:41.308674,Approved
1090,"106.As a customer, I want to be able to leave feedback and reviews on products and the overall shopping experience, so that other customers can benefit from my experience.",Customer,29,Won’t Have,,7.9,Low,Planning,2023-03-23 12:33:41.308674,Deferred
1092,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2023-03-22 12:33:41.308674,Deferred
1094,Customer is able to rate a product on a scale of 1 to 5 stars.,Customer,15,Won’t Have,,6.5,Low,Planning,2023-03-21 12:33:41.308674,Deferred
1095,Customer can write a review of up to 500 characters.,Customer,10,Won’t Have,,6.0,Low,Planning,2023-03-20 12:33:41.308674,Deferred
1096,Review is displayed on the product page.,General User,7,Won’t Have,,5.7,Low,Planning,2023-03-19 12:33:41.308674,Deferred
1097,Customer can edit or delete their review at any time.,Customer,10,Won’t Have,,6.0,Low,Planning,2023-03-18 12:33:41.308674,Deferred
1100,"107.As a customer, I want to be able to save my payment and shipping information for future purchases, so that I can checkout more quickly and easily.",Customer,27,Won’t Have,,7.7,Low,Planning,2023-03-17 12:33:41.308674,Deferred
1102,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2023-03-16 12:33:41.308674,Deferred
